"seqnames" "start" "end"
"284" "chr1" 45647455 45648467
"285" "chr1" 45662051 45663006
"286" "chr1" 45671615 45672324
"287" "chr1" 45707043 45708490
"288" "chr1" 45754609 45755720
"289" "chr1" 45839517 45840545
"290" "chr1" 45919988 45920773
"291" "chr1" 45925058 45925949
"292" "chr1" 45958349 45959915
"293" "chr1" 45969110 45969663
"294" "chr1" 46194118 46195567
"295" "chr1" 46400231 46401354
"296" "chr1" 46598447 46599488
"297" "chr1" 46632662 46633032
"298" "chr1" 46649470 46650249
"299" "chr1" 46663121 46664176
"300" "chr1" 46705931 46706790
"301" "chr1" 46718069 46718530
"302" "chr1" 46832096 46833171
"303" "chr1" 46858844 46859932
"304" "chr1" 46874690 46875755
"305" "chr1" 46923820 46924942
"306" "chr1" 46983125 46984402
"307" "chr1" 47088870 47089913
"308" "chr1" 47161498 47162361
"309" "chr1" 47165759 47166299
"310" "chr1" 47330747 47332227
"311" "chr1" 47499779 47500337
"312" "chr1" 47771047 47771944
"313" "chr1" 48921393 48922930
"314" "chr1" 49266632 49267663
"315" "chr1" 49409179 49410351
"316" "chr1" 49415255 49415926
"317" "chr1" 49434409 49435290
"318" "chr1" 49497392 49498809
"319" "chr1" 49648809 49649388
"320" "chr1" 49814209 49815359
"321" "chr1" 49918419 49919583
"322" "chr1" 49931506 49932234
"323" "chr1" 50085296 50085879
"324" "chr1" 50293368 50294255
"325" "chr1" 50437719 50438343
"326" "chr1" 50527399 50528537
"327" "chr1" 50610239 50611200
"328" "chr1" 50639330 50639892
"329" "chr1" 50709977 50711043
"330" "chr1" 50857998 50859416
"331" "chr1" 50968638 50969674
"332" "chr1" 50976604 50978050
"333" "chr1" 51038406 51038977
"334" "chr1" 51039485 51039866
"335" "chr1" 51062142 51062879
"336" "chr1" 51157364 51157830
"337" "chr1" 51190984 51191753
"338" "chr1" 51219686 51220141
"339" "chr1" 51221006 51221886
"340" "chr1" 51312419 51313067
"341" "chr1" 51386215 51387053
"342" "chr1" 51406890 51408115
"343" "chr1" 51473841 51475169
"344" "chr1" 51590576 51591533
"345" "chr1" 51605730 51606637
"346" "chr1" 51615375 51616117
"347" "chr1" 51709849 51710596
"348" "chr1" 51720197 51720724
"349" "chr1" 51721774 51722821
"350" "chr1" 51733225 51734745
"351" "chr1" 52127819 52128887
"352" "chr1" 52130064 52130731
"353" "chr1" 52137234 52138209
"354" "chr1" 52200767 52201620
"355" "chr1" 52460713 52461779
"356" "chr1" 52461942 52462520
"357" "chr1" 52481021 52481823
"358" "chr1" 52560385 52560637
"359" "chr1" 52632473 52633721
"360" "chr1" 52659269 52659826
"361" "chr1" 52662258 52663373
"362" "chr1" 52790072 52790785
"363" "chr1" 52792189 52792945
"364" "chr1" 53258980 53260216
"365" "chr1" 53276969 53277726
"366" "chr1" 53279703 53280459
"367" "chr1" 53321106 53322371
"368" "chr1" 53406759 53407714
"369" "chr1" 53504143 53504689
"370" "chr1" 53684320 53685450
"371" "chr1" 53714268 53715160
"372" "chr1" 53755895 53757028
"373" "chr1" 53918338 53919422
"374" "chr1" 53945713 53946128
"375" "chr1" 53953955 53954536
"376" "chr1" 54043260 54044290
"377" "chr1" 54062766 54063812
"378" "chr1" 54069307 54070168
"379" "chr1" 54191134 54191807
"380" "chr1" 54425426 54426139
"381" "chr1" 54673307 54674858
"382" "chr1" 54682882 54684081
"383" "chr1" 54705558 54706568
"384" "chr1" 54718400 54718962
"385" "chr1" 54737129 54737993
"386" "chr1" 54764839 54765558
"387" "chr1" 54908805 54909500
"388" "chr1" 54911166 54912169
"389" "chr1" 54971541 54972550
"390" "chr1" 54996582 54997790
"391" "chr1" 55008168 55008949
"392" "chr1" 55043995 55044547
"393" "chr1" 55068740 55069081
"394" "chr1" 55080678 55081226
"395" "chr1" 55095063 55095961
"396" "chr1" 55115708 55116589
"397" "chr1" 55130636 55131763
"398" "chr1" 55182466 55183241
"399" "chr1" 55209981 55211012
"400" "chr1" 55239033 55239406
"401" "chr1" 55749990 55750289
"402" "chr1" 55752334 55753778
"403" "chr1" 55785323 55785777
"404" "chr1" 55837829 55840447
"405" "chr1" 55872303 55873322
"406" "chr1" 55888017 55889057
"407" "chr1" 56222956 56224249
"408" "chr1" 56434637 56435813
"409" "chr1" 57279937 57280746
"410" "chr1" 57347697 57348389
"411" "chr1" 58091538 58092044
"412" "chr1" 58601072 58602185
"413" "chr1" 58676146 58677361
"414" "chr1" 58840547 58841658
"415" "chr1" 58981499 58982418
"416" "chr1" 59007242 59008112
"417" "chr1" 59021526 59022656
"418" "chr1" 59142476 59143396
"419" "chr1" 59236276 59237326
"420" "chr1" 59243049 59243677
"421" "chr1" 59251453 59252213
"422" "chr1" 59314572 59314954
"423" "chr10" 15643 16663
"424" "chr10" 21917 23283
"425" "chr10" 74057 74688
"426" "chr10" 75273 76933
"427" "chr10" 109776 110594
"428" "chr10" 110781 111190
"429" "chr10" 187639 188216
"430" "chr10" 210640 212038
"431" "chr10" 213662 214363
"432" "chr10" 302551 303644
"433" "chr10" 309200 310059
"434" "chr10" 466400 467673
"435" "chr10" 573575 574329
"436" "chr10" 640427 641846
"437" "chr10" 1180046 1180756
"438" "chr10" 1638345 1639476
"439" "chr10" 1681418 1682001
"440" "chr10" 1696282 1697192
"441" "chr10" 1717253 1718571
"442" "chr10" 1826926 1827928
"443" "chr10" 2525754 2526818
"444" "chr10" 2581989 2582743
"445" "chr10" 2600510 2601080
"446" "chr10" 2681541 2682525
"447" "chr10" 2712635 2713842
"448" "chr10" 2787785 2789514
"449" "chr10" 2840758 2841844
"450" "chr10" 2875507 2876779
"451" "chr10" 2898376 2899993
"452" "chr10" 2975915 2976587
"453" "chr10" 3145330 3146566
"454" "chr10" 3294691 3295291
"455" "chr10" 3299535 3300429
"456" "chr10" 3331962 3332656
"457" "chr10" 3393849 3394738
"458" "chr10" 3427137 3427735
"459" "chr10" 3428065 3428637
"460" "chr10" 4046296 4046949
"461" "chr10" 4499254 4500143
"462" "chr10" 5016551 5017144
"463" "chr10" 5025661 5026173
"464" "chr10" 5159107 5160750
"465" "chr10" 5233888 5234656
"466" "chr10" 5414002 5414491
"467" "chr10" 5422337 5423002
"468" "chr10" 5683449 5684321
"469" "chr10" 5821021 5821903
"470" "chr10" 6010222 6010664
"471" "chr10" 6012754 6013321
"472" "chr10" 6340164 6341115
"473" "chr10" 6383012 6384078
"474" "chr10" 6493288 6494380
"475" "chr10" 6496118 6496896
"476" "chr10" 6587390 6589066
"477" "chr10" 6774611 6775645
"478" "chr10" 7181847 7183305
"479" "chr10" 7346699 7348119
"480" "chr10" 7554818 7555987
"481" "chr10" 7593065 7593687
"482" "chr10" 7636255 7637246
"483" "chr10" 7670939 7671643
"484" "chr10" 7701686 7702183
"485" "chr10" 7703019 7703598
"486" "chr10" 7733876 7734999
"487" "chr10" 7771733 7772514
"488" "chr10" 7820197 7821950
"489" "chr10" 7913534 7913876
"490" "chr10" 7987583 7988684
"491" "chr10" 8032687 8033570
"492" "chr10" 8041325 8042411
"493" "chr10" 8090709 8091779
"494" "chr10" 8294420 8295658
"495" "chr10" 8437529 8438524
"496" "chr10" 8537072 8537999
"497" "chr10" 8656206 8657076
"498" "chr10" 8672059 8673113
"499" "chr10" 8956968 8957782
"500" "chr10" 9089127 9090097
"501" "chr10" 9158816 9160232
"502" "chr10" 9345718 9346902
"503" "chr10" 9409852 9410900
"504" "chr10" 9595423 9596037
"505" "chr10" 10015678 10016511
"506" "chr10" 10017432 10018276
"507" "chr10" 10209730 10211218
"508" "chr10" 10312916 10313597
"509" "chr10" 10636074 10637317
"510" "chr10" 10738607 10739712
"511" "chr10" 10864279 10864554
"512" "chr10" 10969162 10969885
"513" "chr10" 10972314 10973094
"514" "chr10" 11010972 11012113
"515" "chr10" 11038063 11039126
"516" "chr10" 11260337 11261782
"517" "chr10" 11265183 11265581
"518" "chr10" 11282789 11283565
"519" "chr10" 11352622 11353220
"520" "chr10" 11355615 11356207
"521" "chr10" 11397328 11397683
"522" "chr10" 11839775 11840601
"523" "chr10" 12516797 12517847
"524" "chr10" 13278945 13279997
"525" "chr10" 13771920 13773223
"526" "chr10" 14487776 14488873
"527" "chr10" 14545344 14546059
"528" "chr10" 14929157 14930015
"529" "chr10" 15254911 15256375
"530" "chr10" 15339989 15341258
"531" "chr10" 15404890 15405617
"532" "chr10" 15408454 15409016
"533" "chr10" 15454767 15456202
"534" "chr10" 15602882 15605162
"535" "chr10" 15644275 15645076
"536" "chr10" 15776807 15777703
"537" "chr10" 15854548 15855194
"538" "chr10" 15919218 15920114
"539" "chr10" 15967281 15968265
"540" "chr10" 16027583 16028201
"541" "chr10" 16029094 16029542
"542" "chr10" 16036099 16037250
"543" "chr10" 16165217 16165950
"544" "chr10" 16188547 16189612
"545" "chr10" 16225349 16226568
"546" "chr10" 16501040 16502436
"547" "chr10" 16546761 16548056
"548" "chr10" 16592244 16593454
"549" "chr10" 17169230 17170524
"550" "chr10" 17221503 17222437
"551" "chr10" 17231984 17232813
"552" "chr10" 17681045 17681721
"553" "chr10" 17710372 17711586
"554" "chr10" 17713042 17714029
"555" "chr10" 17747730 17748458
"556" "chr10" 17850853 17851912
"557" "chr10" 17936238 17937120
"558" "chr10" 18467208 18468471
"559" "chr10" 18878732 18879721
"560" "chr10" 18910887 18911622
"561" "chr10" 18952056 18953792
"562" "chr10" 19310061 19311177
"563" "chr10" 19554552 19555479
"564" "chr10" 20069949 20071045
"565" "chr10" 20105932 20106322
"566" "chr10" 20256105 20257111
"567" "chr10" 20363936 20364803
"568" "chr10" 20481103 20482485
"569" "chr10" 20523644 20524673
"570" "chr10" 20536458 20537160
"571" "chr10" 20589918 20590918
"572" "chr10" 20706056 20706268
"573" "chr10" 21052770 21054300
"574" "chr10" 21434541 21435653
"575" "chr10" 21444289 21445539
"576" "chr10" 21576755 21577529
"577" "chr10" 21656305 21657632
"578" "chr10" 21701393 21701993
"579" "chr10" 21789651 21790278
"580" "chr10" 21797025 21798087
"581" "chr10" 22003559 22003945
"582" "chr10" 22012243 22013378
"583" "chr10" 22034419 22035198
"584" "chr10" 22723400 22724464
"585" "chr10" 22782503 22782836
"586" "chr10" 22831404 22832114
"587" "chr10" 22845264 22845850
"588" "chr10" 22854479 22855535
"589" "chr10" 22891040 22892112
"590" "chr10" 22911826 22912496
"591" "chr10" 22917740 22918829
"592" "chr10" 23021298 23022600
"593" "chr10" 23060088 23061389
"594" "chr10" 23099427 23100452
"595" "chr10" 24370198 24371748
"596" "chr10" 24421650 24422619
"597" "chr10" 24503955 24504982
"598" "chr10" 24659354 24659892
"599" "chr10" 24660071 24660397
"600" "chr10" 24723693 24724503
"601" "chr10" 24758988 24759769
"602" "chr10" 25219661 25220282
"603" "chr10" 25328380 25328929
"604" "chr10" 25369458 25369889
"605" "chr10" 25561547 25561908
"606" "chr10" 25656042 25657615
"607" "chr10" 25698631 25699872
"608" "chr10" 25716222 25717258
"609" "chr10" 25858975 25860308
"610" "chr10" 25947674 25948395
"611" "chr10" 25982224 25983085
"612" "chr10" 26117975 26118902
"613" "chr10" 26163559 26164624
"614" "chr10" 26871637 26872745
"615" "chr10" 26926332 26927169
"616" "chr10" 26944021 26944658
"617" "chr10" 26961469 26962422
"618" "chr10" 26972425 26973536
"619" "chr10" 26989431 26990367
"620" "chr10" 27223194 27223964
"621" "chr10" 27740893 27742071
"622" "chr10" 28028264 28029277
"623" "chr10" 28116967 28118109
"624" "chr10" 28192918 28193861
"625" "chr10" 28368477 28369662
"626" "chr10" 28380073 28381176
"627" "chr10" 28834080 28835898
"628" "chr10" 29137622 29138844
"629" "chr10" 29265040 29265911
"630" "chr10" 29272327 29273330
"631" "chr10" 29744487 29745027
"632" "chr10" 29769763 29770702
"633" "chr10" 29815811 29817377
"634" "chr10" 29831266 29832406
"635" "chr10" 29849120 29849608
"636" "chr10" 29963337 29964242
"637" "chr10" 30784814 30785624
"638" "chr10" 31220097 31220932
"639" "chr10" 31222541 31223436
"640" "chr10" 31243416 31244833
"641" "chr10" 31440411 31441254
"642" "chr10" 31624200 31625089
"643" "chr10" 31782495 31783206
"644" "chr10" 31805178 31806048
"645" "chr10" 32058559 32059342
"646" "chr10" 32065901 32067246
"647" "chr10" 32493796 32494521
"648" "chr10" 32560917 32562293
"649" "chr10" 32646211 32647059
"650" "chr10" 32660248 32660824
"651" "chr10" 32682904 32683641
"652" "chr10" 32851183 32852309
"653" "chr10" 32879863 32880655
"654" "chr10" 32889821 32890818
"655" "chr10" 33156293 33157797
"656" "chr10" 33251229 33252057
"657" "chr10" 33265034 33265831
"658" "chr10" 33342113 33343596
"659" "chr10" 33379091 33379935
"660" "chr10" 33382820 33383725
"661" "chr10" 33572399 33572572
"662" "chr10" 33573760 33574375
"663" "chr10" 33894785 33896114
"664" "chr10" 34032710 34033712
"665" "chr10" 34315554 34316945
"666" "chr10" 34426064 34427768
"667" "chr10" 34871344 34872151
"668" "chr10" 34958427 34959247
"669" "chr10" 34980709 34981275
"670" "chr10" 35002388 35003331
"671" "chr10" 35051608 35052331
"672" "chr10" 35108266 35109097
"673" "chr10" 35152455 35153347
"674" "chr10" 35185467 35186615
"675" "chr10" 35247363 35248616
"676" "chr10" 35257253 35258039
"677" "chr10" 35264744 35265837
"678" "chr10" 35275475 35276266
"679" "chr10" 35320621 35321734
"680" "chr10" 35540996 35542861
"681" "chr10" 35553832 35555046
"682" "chr10" 35613303 35614034
"683" "chr10" 36026181 36026680
"684" "chr10" 36037901 36038377
"685" "chr10" 36092193 36092871
"686" "chr10" 36405748 36406533
"687" "chr10" 36439104 36439965
"688" "chr10" 36546308 36547393
"689" "chr10" 36633151 36634363
"690" "chr10" 36695538 36696042
"691" "chr10" 36807325 36808411
"692" "chr10" 36825158 36826149
"693" "chr10" 37075054 37075440
"694" "chr10" 37083257 37084275
"695" "chr10" 37137298 37137834
"696" "chr10" 37182416 37183172
"697" "chr10" 37268526 37269404
"698" "chr10" 37337249 37337917
"699" "chr10" 37499906 37501063
"700" "chr10" 38242984 38243711
"701" "chr10" 38315469 38316456
"702" "chr10" 38526126 38526981
"703" "chr10" 38663708 38664764
"704" "chr10" 38775214 38775998
"705" "chr10" 39011000 39011786
"706" "chr10" 39083563 39084516
"707" "chr10" 39130120 39131157
"708" "chr10" 39153732 39155179
"709" "chr10" 39212690 39213178
"710" "chr10" 39248720 39249530
"711" "chr10" 39283603 39284484
"712" "chr10" 39476329 39477370
"713" "chr10" 39893354 39893954
"714" "chr10" 40283617 40284721
"715" "chr10" 40825683 40827435
"716" "chr10" 41156175 41157436
"717" "chr10" 41399606 41400645
"718" "chr10" 41449844 41450890
"719" "chr10" 41668180 41669082
"720" "chr10" 41765721 41766784
"721" "chr10" 41906103 41907030
"722" "chr10" 41939624 41940517
"723" "chr10" 41986135 41986381
"724" "chr10" 42086553 42087569
"725" "chr10" 42107229 42108403
"726" "chr10" 42130796 42131521
"727" "chr10" 42297731 42298047
"728" "chr10" 42374639 42375686
"729" "chr10" 42423116 42423937
"730" "chr10" 42521845 42522640
"731" "chr10" 42542189 42543108
"732" "chr10" 42689940 42690586
"733" "chr10" 42759091 42760453
"734" "chr10" 42775575 42776551
"735" "chr10" 43028397 43029526
"736" "chr10" 43036652 43037559
"737" "chr10" 43117202 43118103
"738" "chr10" 43403353 43404082
"739" "chr10" 43539891 43540259
"740" "chr10" 43720718 43721876
"741" "chr10" 43770919 43771617
"742" "chr10" 43928374 43929401
"743" "chr10" 43963463 43964168
"744" "chr10" 44016866 44017715
"745" "chr10" 44055575 44057551
"746" "chr10" 44304593 44305687
"747" "chr10" 44362934 44363828
"748" "chr10" 44373053 44374396
"749" "chr10" 44691524 44692924
"750" "chr10" 44699650 44700317
"751" "chr10" 44903471 44903895
"752" "chr10" 44940529 44941781
"753" "chr10" 44980207 44981469
"754" "chr10" 44984722 44985128
"755" "chr10" 45031273 45032050
"756" "chr10" 45058595 45059110
"757" "chr10" 45059656 45060234
"758" "chr10" 45071314 45072431
"759" "chr10" 45147718 45148821
"760" "chr10" 45229203 45230304
"761" "chr10" 45247597 45248769
"762" "chr10" 45344902 45346319
"763" "chr11" 11967 13028
"764" "chr11" 27102 29258
"765" "chr11" 235861 237476
"766" "chr11" 296082 297200
"767" "chr11" 329156 330065
"768" "chr11" 355176 355787
"769" "chr11" 440005 441163
"770" "chr11" 471369 472638
"771" "chr11" 486069 486654
"772" "chr11" 496775 498109
"773" "chr11" 506378 506984
"774" "chr11" 574027 574583
"775" "chr11" 762246 763439
"776" "chr11" 769425 770390
"777" "chr11" 779460 780019
"778" "chr11" 890791 891787
"779" "chr11" 1289989 1291835
"780" "chr11" 1392199 1392534
"781" "chr11" 1400194 1401420
"782" "chr11" 1509274 1509858
"783" "chr11" 1522045 1523250
"784" "chr11" 1533010 1533873
"785" "chr11" 1628386 1629480
"786" "chr11" 1871395 1871899
"787" "chr11" 2221994 2222745
"788" "chr11" 2249769 2250985
"789" "chr11" 2297275 2298119
"790" "chr11" 2416077 2416809
"791" "chr11" 2457918 2458826
"792" "chr11" 2477737 2478883
"793" "chr11" 2548666 2549254
"794" "chr11" 2593493 2594156
"795" "chr11" 2596414 2597255
"796" "chr11" 2632383 2632953
"797" "chr11" 2649652 2650260
"798" "chr11" 2684896 2685479
"799" "chr11" 2699712 2700410
"800" "chr11" 2710111 2711157
"801" "chr11" 2762926 2763464
"802" "chr11" 2855158 2856026
"803" "chr11" 3005671 3007169
"804" "chr11" 3343372 3344378
"805" "chr11" 3366228 3367268
"806" "chr11" 3380900 3382080
"807" "chr11" 3494639 3495083
"808" "chr11" 3550755 3552393
"809" "chr11" 3906701 3908062
"810" "chr11" 3959020 3959955
"811" "chr11" 3988716 3989649
"812" "chr11" 4025663 4026772
"813" "chr11" 4235287 4235903
"814" "chr11" 4953207 4954547
"815" "chr11" 5499504 5500459
"816" "chr11" 5563167 5563679
"817" "chr11" 5816940 5817967
"818" "chr11" 5842457 5843042
"819" "chr11" 5864989 5865777
"820" "chr11" 5880412 5881022
"821" "chr11" 5926352 5927504
"822" "chr11" 5952800 5953734
"823" "chr11" 6000909 6001898
"824" "chr11" 6009762 6010693
"825" "chr11" 6115373 6116483
"826" "chr11" 6135781 6137072
"827" "chr11" 6187440 6188786
